run,learner_id,country,age_range,highest_education_level,started_course,steps_completed,max_week_completed,last_week,early_dropout,id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
6,cdb00c9d-8963-41c0-974b-2774c23b7c69,NA,NA,NA,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,10993789-8471-47ea-b3ed-9af1ab20fc82,NA,NA,NA,TRUE,6,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,a34081e6-c66f-426c-9051-cf253d2aa9be,NA,NA,NA,TRUE,15,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,5a9ba461-eb72-44a6-bca1-7dcd429fef9e,NA,NA,NA,TRUE,48,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,6789adaa-a2f7-4fe6-8875-be0aafdbd92d,NA,NA,NA,TRUE,8,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,fe13237a-dbd5-49ea-bd7c-07c33f75b843,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,cec2fefa-4753-477c-873b-0cc7d0b7adfb,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,dee7a51b-6b56-4578-b0da-28c348fa82bf,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,053a7046-0f6a-4737-92e3-558a99b4e6f8,NA,NA,NA,TRUE,61,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,56d65d57-9cac-4ce2-849e-e87978f983c7,NA,NA,NA,TRUE,31,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,d83d21f7-4ace-4e09-9ce4-05c55b10d35d,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,a5c73c25-e47c-417f-85d9-6a56eea37996,BG,36-45,university_masters,TRUE,61,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,5ac9d04f-5b5d-426f-be11-fa8ae5520934,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fc09046c-3bda-4851-97e2-6d361c772557,AU,46-55,university_degree,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,1abda993-6408-4c62-9b7b-322a5fa5e7de,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,c16a5e65-6c86-4344-bd1b-414bad8cb3ff,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
